Date,Close,High,Low,Open,Volume
2006-01-03,104.1236572265625,104.21896148532332,103.1706212490431,103.1706212490431,118600
2006-01-04,105.13729095458984,105.25858602461881,104.6001289616289,104.82538745734807,227200
2006-01-05,104.91204071044922,105.01601076095322,104.747429726426,104.77342058653038,264900
2006-01-06,105.37122344970703,105.46652766473086,105.12862669595552,105.26725341238496,145800
2006-01-09,104.77340698242188,104.81672948369503,104.5308168394977,104.75608194796399,111400
2006-01-10,104.65213775634766,104.7041194826446,104.40088172910035,104.44420424107264,85000
2006-01-11,105.15461730957031,105.30190322861324,104.90336135998139,104.94667724847831,184900
2006-01-12,104.3575668334961,104.40955517367459,104.14096747800102,104.29691927836099,225000
2006-01-13,105.22393035888672,105.3192345734105,104.5048257539604,104.5048257539604,66700
2006-01-17,104.9726791381836,104.99000417229554,104.54813978645737,104.66077564348436,76700
2006-01-18,105.00732421875,105.47517943857659,104.70408656055272,105.34521855361056,469900
2006-01-19,104.88603973388672,105.0939798148385,104.66078122798442,104.66078122798442,43200
2006-01-20,105.24993896484375,105.27592982426724,104.71277029977497,104.97269211418258,52500
2006-01-23,106.72282409667969,106.73148992086276,106.38492966449796,106.48023390025045,161100
2006-01-24,106.49752807617188,106.64481399416601,106.39356465645139,106.44554636631163,153600
2006-01-25,106.1943130493164,106.51488241863572,106.13366550485995,106.51488241863572,162100
2006-01-26,105.93435668945312,106.31557347895078,105.85638413346557,106.2289351022698,44600
2006-01-27,104.98136901855469,106.06436574428069,104.87740556334096,105.99505236741325,272400
2006-01-30,104.88603973388672,104.96401891676511,104.72142876574055,104.91203059148422,216000
2006-01-31,105.48387145996094,105.7524525082041,105.1373112173359,105.1373112173359,467300
2006-02-01,104.70561218261719,105.14810543546285,104.64487833375547,104.98325358019831,133100
2006-02-02,104.98323059082031,105.06999226741027,104.60147127043456,104.68823956651613,54100
2006-02-03,104.3498764038086,104.37591086897585,104.01150117105497,104.02017932611072,243700
2006-02-06,103.81193542480469,104.0375210882602,103.699139283331,103.93340310062877,151500
2006-02-07,103.8899917602539,104.06352169422243,103.68176245898181,104.0374938589997,190500
2006-02-08,103.8032455444336,103.8726575283465,103.56031022022955,103.82060185015737,196800
2006-02-09,104.06355285644531,104.08090254529253,103.73384919291917,104.03752501342844,26300
2006-02-10,103.33468627929688,104.3931954733932,103.273952470758,104.36716764394636,259000
2006-02-13,103.38682556152344,103.44755941529768,103.24800154175743,103.30873539553166,49000
2006-02-14,103.48224639892578,103.50828086413202,103.08313731917009,103.10049362930756,69300
2006-02-15,103.21326446533203,103.777225291742,103.15253062984121,103.63840131376777,22800
2006-02-16,103.30001831054688,103.30001831054688,103.10046713170159,103.13517312356406,145800
2006-02-17,103.65572357177734,103.72513553796392,103.16985304745023,103.16985304745023,184400
2006-02-21,103.51693725585938,103.6123770891749,103.29135821301523,103.42149742254384,56400
2006-02-22,103.42147827148438,103.51691808712685,103.20457080311341,103.28266093386208,23400
2006-02-23,103.50827026367188,103.78591162200266,103.48223580113188,103.78591162200266,26100
2006-02-24,103.0918197631836,103.39548900829513,103.0918197631836,103.36946116149888,116300
2006-02-27,102.9443130493164,103.09180857815464,102.88357920688347,102.979019047777,45400
2006-02-28,103.59503936767578,103.71650705692818,103.20460183551373,103.23063629991861,150800
2006-03-01,103.5567626953125,103.9390213327003,103.3830123845814,103.9390213327003,73300
2006-03-02,104.66008758544922,104.67745996358103,103.75657147517185,103.78263335644398,327700
2006-03-03,104.62535858154297,104.72961275708144,104.3212921880769,104.72961275708144,156200
2006-03-06,104.4776611328125,104.58190867121606,104.25178041935533,104.50372301741339,73200
2006-03-07,103.3309326171875,103.53943440447857,103.209306022255,103.49599349422313,1895300
2006-03-08,103.70452117919922,103.79139638770025,103.49601272501248,103.60026695210584,913800
2006-03-09,103.61763000488281,103.73926323960734,103.53944431272376,103.73926323960734,748300
2006-03-10,103.66106414794922,103.66106414794922,103.20061964912635,103.27012245638518,25400
2006-03-13,104.02591705322266,104.08673033681583,103.73054014095605,103.73054014095605,25400
2006-03-14,104.512451171875,104.64276064306976,104.09544097959532,104.09544097959532,189700
2006-03-15,104.99893188476562,105.04237278331796,104.7122378618815,104.86861581725915,59800
2006-03-16,105.92854309082031,106.03279730291345,105.4594090786301,105.4594090786301,50000
2006-03-17,106.11097717285156,106.20654187165901,105.65922220152268,105.96328868493175,102400
2006-03-20,105.87640380859375,105.97196849865938,105.72002582740924,105.89377619399131,67900
2006-03-21,105.18138885498047,105.52020670877758,105.09451367188021,105.52020670877758,191000
2006-03-22,105.11189270019531,105.37252489411935,105.08583080643332,105.26827069091934,59900
2006-03-23,104.23440551757812,105.00760567339935,104.10408946957632,105.00760567339935,129800
2006-03-24,104.76434326171875,104.86859742306761,104.21702382797329,104.28652660220587,114400
2006-03-27,104.53852844238281,104.77309215318682,104.52114942489919,104.72096835704218,49700
2006-03-28,104.53852844238281,105.2596052204316,104.45165323942403,105.24222620294796,181400
2006-03-29,104.78170776367188,104.8859619105881,104.44289007137974,104.44289007137974,51700
2006-03-30,105.88509368896484,105.91984509020955,105.46809013033248,105.58971672061293,66200
2006-03-31,105.52021789550781,105.72003680315865,105.33777800321043,105.42465319552076,30900
2006-04-03,105.71424865722656,105.76646203672493,104.85280424055937,104.88761094732477,76600
2006-04-04,106.77582550048828,106.88024561640566,106.59309527665803,106.59309527665803,133300
2006-04-05,107.02821350097656,107.20224046094411,106.81067648166564,106.99340678124246,241000
2006-04-06,106.506103515625,106.62792368964573,106.27115986665531,106.4277867530679,99300
2006-04-07,105.40098571777344,105.96658303552422,105.3574823171464,105.96658303552422,96000
2006-04-10,105.41838073730469,105.59240759797783,105.2095471767571,105.42708407194812,112800
2006-04-11,105.87088012695312,105.89698349848835,105.6185364709446,105.6185364709446,97900
2006-04-12,105.45320129394531,105.68813825059516,105.39229122083609,105.49670469548043,82200
2006-04-13,105.54022979736328,105.55762983272047,105.25307942371197,105.29658947015646,41500
2006-04-17,106.77582550048828,107.06297584023591,106.54958523535073,106.60179861265954,219700
2006-04-18,107.33270263671875,107.34140597135222,106.89762884683445,107.04555234210731,227600
2006-04-19,107.97663116455078,108.0375478802335,107.18480016378177,107.2022001977622,116400
2006-04-20,107.41974639892578,107.55897323757766,107.13260266193312,107.42844973601679,95300
2006-04-21,107.62855529785156,107.72427206186109,107.31530164085663,107.41101840486614,79200
2006-04-24,108.18547058105469,108.23767732129909,107.52415643692378,107.741693372876,129700
2006-04-25,108.38558959960938,108.46390634055116,107.81129560040188,108.35078289682411,72800
2006-04-26,108.5944595336914,108.74238308198393,108.30730913615777,108.42042597214,130200
2006-04-27,109.29927062988281,109.40369076053535,108.40301941756063,108.49003287375382,157400
2006-04-28,110.16938781738281,110.16938781738281,109.49067375372917,109.50807378464623,108500
2006-05-01,109.75716400146484,110.62001921969346,109.47826096882667,110.52414567882664,294600
2006-05-02,110.10581970214844,110.32371295415953,109.96636482906564,110.16682954672856,125600
2006-05-03,110.15811920166016,110.44573990913415,109.86178755122619,110.13197307363066,87300
2006-05-04,110.88146209716797,110.99476413607138,110.16677286427284,110.17549045174877,98200
2006-05-05,111.06452941894531,111.317286345391,110.98608440404753,111.317286345391,105900
2006-05-08,110.87277221679688,111.2214026576767,110.73332403018848,111.20396747836779,146900
2006-05-09,111.21265411376953,111.50899223338685,111.00347856729131,111.03834226663281,246500
2006-05-10,111.55260467529297,111.92738125826148,111.36957517889994,111.45673113200525,329400
2006-05-11,112.0232162475586,112.25854455448244,111.17778982929643,111.2910985139526,236700
2006-05-12,112.81636047363281,112.83379564954753,112.17139195621444,112.58974308416936,373500
2006-05-15,111.5613021850586,112.10167298679153,111.54387365740376,111.82277664688354,442800
2006-05-16,112.18887329101562,112.24116554113223,111.79666811599293,112.18887329101562,121400
2006-05-17,111.29112243652344,112.19755221119026,110.89019978438216,112.18013033222239,188200
2006-05-18,111.91865539550781,112.0058046874205,111.53516127348826,111.70947315645782,155100
2006-05-19,111.50031280517578,111.51774133602576,110.85535077055812,111.24755588562641,145000
2006-05-22,112.35445404052734,112.45903852191849,111.34342638992757,111.37829010024889,122500
2006-05-23,112.22369384765625,112.37185960783239,111.78790750626395,111.82277786109582,54400
2006-05-24,111.57003784179688,112.18886042857436,111.1865503022851,112.17142524748508,88000
2006-05-25,111.64846801757812,111.89250730927048,111.43056819334198,111.53515931102669,68400
2006-05-26,111.1168212890625,111.50031547266687,110.93379178768036,111.50031547266687,110500
2006-05-30,112.3457260131836,112.7030740447493,111.99710222087009,112.1016866987351,131000
2006-05-31,111.94477081298828,112.3456867039557,111.90118952941168,112.29339448332,78900
2006-06-01,111.74400329589844,111.99716744215948,111.17655194706913,111.28131434792522,106000
2006-06-02,112.83529663085938,113.00116883075619,112.66942443096258,112.77418021155914,241700
2006-06-05,112.80036163330078,113.24558693949153,112.79162310591362,113.07971477024618,190200
2006-06-06,112.11064910888672,112.19795443001932,111.9185880591324,112.07573497298674,133900
2006-06-07,111.76146697998047,111.97097846068262,111.51702137808418,111.65670457916777,69400
2006-06-08,110.57420349121094,110.69642298080552,110.25992290069267,110.59166056381189,294900
2006-06-09,110.45194244384766,110.79241852638785,110.36464378749963,110.5567048277416,54900
2006-06-12,109.99801635742188,110.22499825610477,109.88452873831164,110.12896770898747,312500
2006-06-13,109.5789566040039,110.19879246257746,109.44801193292919,109.88451193107532,114900
2006-06-14,110.04169464111328,110.46073107110213,110.04169464111328,110.40835318246953,115700
2006-06-15,110.242431640625,110.51305949137245,110.17259004673501,110.39957189664696,42700
2006-06-16,110.32978057861328,110.53057358743051,110.3123235024163,110.4607319617146,794800
2006-06-19,109.83213806152344,109.89324780077622,109.64880884376511,109.70119337774038,412300
2006-06-20,109.93690490722656,110.17261200801374,109.736111949883,109.77976461988099,28800
2006-06-21,110.71388244628906,110.8273700718047,110.43452265539749,110.53928507465538,49800
2006-06-22,109.97183990478516,110.08532753678013,109.77977878874505,109.92818722915307,89100
2006-06-23,109.40437316894531,109.54405638312055,109.29088555277463,109.32580635631842,58500
2006-06-26,109.97183990478516,110.14643728638715,109.62263848111797,109.9631080375661,65000
2006-06-27,109.9543685913086,110.23372837889373,109.9543685913086,110.13770448795567,145700
2006-06-28,109.7623062133789,109.84087302586511,109.44802564250963,109.77103141890255,62300
