Date,Close,High,Low,Open,Volume
2006-06-26,78.21373748779297,78.36929354621469,77.97068670949986,78.22346159577461,9000
2006-06-27,78.25261688232422,78.29150589214878,78.1748462799953,78.21372787249965,2600
2006-06-28,78.06788635253906,78.06788635253906,77.91233034712405,78.01927324651723,3800
2006-06-29,78.62203216552734,78.71925094853505,77.83454296333426,78.02898794666736,9500
2006-06-30,79.55537414550781,79.55537414550781,79.25398616841386,79.25398616841386,11600
2006-07-03,79.35795593261719,79.61078325665898,79.31905885054462,79.38712688945665,3700
2006-07-05,79.00790405273438,79.00790405273438,78.7648028094952,78.98845921757416,3000
2006-07-06,79.1926498413086,79.2120946731466,79.04678763651388,79.0856847190498,3400
2006-07-07,79.62052917480469,79.68859723698023,79.56218724118632,79.65942627017105,21100
2006-07-10,79.10513305664062,79.15375626668036,78.95927084538164,79.01762018120138,8000
2006-07-11,79.37741088867188,79.37741088867188,79.12459095124318,79.15376191180336,12900
2006-07-12,78.87178039550781,78.93012232905564,78.71619201423049,78.92040361937256,4300
2006-07-13,79.11486053466797,79.23155178944171,78.93982736193753,79.20237341160299,5300
2006-07-14,78.80368041992188,78.81340654452846,78.65781822626046,78.79395429531529,2900
2006-07-17,77.95770263671875,78.03549681282202,77.90908684079993,78.01605197822668,15600
2006-07-18,77.597900390625,77.92851443764079,77.597900390625,77.92851443764079,3500
2006-07-19,78.04523468017578,78.1521998336937,77.40344375906828,77.40344375906828,2700
2006-07-20,78.19107818603516,78.35638523135431,78.15218110145531,78.15218110145531,3100
2006-07-21,78.68701934814453,78.72591644262386,78.49254129461015,78.51198613241871,10200
2006-07-24,78.07437896728516,78.103549923029,77.97713997518582,78.103549923029,12800
2006-07-25,77.68541717529297,78.2494137274541,77.55900722485397,78.2494137274541,5000
2006-07-26,78.36611938476562,78.37584551254274,77.84102718658966,77.84102718658966,2500
2006-07-27,78.58000946044922,79.05649303243034,78.58000946044922,79.00786983729498,2400
2006-07-28,78.87178039550781,78.93984845760106,78.87178039550781,78.89122523373631,1600
2006-07-31,79.07596588134766,79.16348617983432,79.00789783535161,79.16348617983432,9200
2006-08-01,79.37947082519531,79.37947082519531,78.74715736778514,78.86389455772849,2800
2006-08-02,79.087646484375,79.31138350909498,79.0390041285064,79.31138350909498,4000
2006-08-03,79.05845642089844,79.19465353263503,78.91254419721899,79.19465353263503,1900
2006-08-04,79.66156768798828,79.82693978156755,79.48646564132211,79.54483051628429,17100
2006-08-07,79.44756317138672,79.65184768104302,79.3211034525844,79.65184768104302,19400
2006-08-08,79.50593566894531,79.50593566894531,79.23354890029333,79.3794685280546,2100
2006-08-09,79.38919067382812,79.5934751638887,79.34054832876521,79.55456277219433,5900
2006-08-10,78.85417938232422,78.85417938232422,78.60125988938147,78.6985371883427,5100
2006-08-11,78.29969787597656,78.6888145296912,78.28024538309312,78.45534750617556,2100
2006-08-14,78.40666198730469,78.47475680759256,78.37747955314973,78.37747955314973,6800
