Date,Close,High,Low,Open,Volume
2006-06-26,148.28465270996094,148.43099270423718,147.8700454684,148.17083822767864,24900
2006-06-27,148.30087280273438,148.59354030224398,148.24397178038663,148.24397178038663,23400
2006-06-28,147.82122802734375,147.85374112534444,147.6911508256515,147.6911508256515,125000
2006-06-29,148.94313049316406,148.94313049316406,147.2846770911727,147.30906501724505,47600
2006-06-30,150.34141540527344,150.40645400902693,150.18696267680983,150.22760094991617,31800
2006-07-03,149.84005737304688,150.38534314645293,149.72611724753727,150.17374360437577,17200
2006-07-05,149.84005737304688,149.84005737304688,149.84005737304688,149.84005737304688,0
2006-07-06,149.84005737304688,149.84005737304688,149.84005737304688,149.84005737304688,0
2006-07-07,150.8004608154297,150.92254754737118,150.613276062042,150.92254754737118,8500
2006-07-10,150.0761260986328,150.16565140240976,149.9866007948559,150.00288150969172,13800
2006-07-11,150.50743103027344,150.50743103027344,150.0760853433626,150.0842319078416,13000
2006-07-12,149.50640869140625,149.66917856608055,149.34363881673198,149.66917856608055,700
2006-07-13,150.13308715820312,150.32027189490904,149.880791987307,150.32027189490904,14800
2006-07-14,149.6529083251953,149.8156781977526,149.6529083251953,149.8156781977526,6200
2006-07-17,148.2693634033203,148.55422005192,148.2693634033203,148.32633970045936,13300
2006-07-18,148.92042541503906,149.2134161533439,148.85531498224407,149.2134161533439,42700
2006-07-19,150.30397033691406,150.30397033691406,148.87971238520745,148.87971238520745,900
2006-07-20,150.75985717773438,150.9144805834113,150.75985717773438,150.9144805834113,7300
2006-07-21,151.6469268798828,151.6632075991087,151.55740155196565,151.55740155196565,600
2006-07-24,150.9713592529297,151.21552026912326,150.93066368047323,151.21552026912326,1000
2006-07-25,150.21461486816406,150.71920566868815,150.165772684209,150.6459610205908,18000
2006-07-26,151.32130432128906,151.3945613145132,150.96321559445101,150.96321559445101,20000
2006-07-27,151.63059997558594,152.2084473558722,151.48411080282247,152.2084473558722,10000
2006-07-28,152.12704467773438,152.31422941271066,152.12704467773438,152.22470411884456,14900
2006-07-31,152.53399658203125,152.58282630931157,152.23287165143782,152.47703270638658,14400
2006-08-01,153.26068115234375,153.30149497646434,152.44420533501577,152.5258454416892,36400
2006-08-02,153.30966186523438,153.49744780770206,153.1708624765903,153.39130196879643,9400
2006-08-03,154.150634765625,154.27310115323252,153.94651581399108,154.27310115323252,24300
2006-08-04,155.85707092285156,156.17549599868926,155.69377824829448,155.69377824829448,25500
2006-08-07,155.70201110839844,156.16740852920418,155.61219822675722,156.06942291204396,12600
2006-08-08,155.6611328125,156.75522003934935,155.6611328125,155.734625115432,8400
2006-08-09,155.7509307861328,156.16734144871157,155.7509307861328,156.0367023209052,9900
2006-08-10,154.53443908691406,155.4407280805989,154.50177306531202,155.4407280805989,7600
2006-08-11,154.54249572753906,155.08953286738193,154.54249572753906,154.68129508017725,1300
2006-08-14,154.40370178222656,154.7547803114719,154.40370178222656,154.57516714056595,1100
2006-08-15,154.7874298095703,155.11401503258085,154.7874298095703,155.11401503258085,12100
2006-08-16,155.0977783203125,155.48151055845884,155.0977783203125,155.48151055845884,1400
2006-08-17,154.3139190673828,155.01608872126477,154.3139190673828,154.90994288547276,1700
2006-08-18,153.8484649658203,154.10158282352856,153.7586646252995,153.8239716986916,8800
2006-08-21,155.12220764160156,155.22834100054683,155.09771436965812,155.22834100054683,1600
2006-08-22,154.4772186279297,154.6078577457501,154.3792455187804,154.5996974727983,12000
2006-08-23,155.00790405273438,155.17119668780052,154.754786141188,155.17119668780052,2300
2006-08-24,154.58334350585938,155.0732214436069,154.58334350585938,155.0732214436069,500
2006-08-25,154.4853973388672,154.4853973388672,154.46089160219935,154.46089160219935,1100
2006-08-28,155.18751525878906,155.36712841975992,155.18751525878906,155.23650179891095,500
2006-08-29,155.51417541503906,155.57949498614437,154.90181845166543,155.52233568951436,6300
2006-08-30,155.99583435058594,156.06115389703427,155.90602153152315,155.90602153152315,1000
2006-08-31,155.84890747070312,156.1591598085036,155.8162414613985,156.1591598085036,500
2006-09-01,156.17083740234375,156.17083740234375,155.56457941508037,155.56457941508037,1600
2006-09-05,155.29421997070312,155.29421997070312,155.097588658387,155.20409884854107,19700
2006-09-06,154.49957275390625,154.49957275390625,154.19644364704735,154.38487424040284,4200
2006-09-07,153.74583435058594,153.9588422990033,153.49185996945752,153.49185996945752,18700
2006-09-08,152.9511260986328,153.12316760650825,152.89377059520797,153.12316760650825,17300
2006-09-11,153.0248260498047,153.03301433377524,152.6479649680092,153.03301433377524,12500
2006-09-12,153.83595275878906,153.8523293306214,153.6638987449508,153.84414104470522,10600
2006-09-13,153.9916229248047,154.00799949719269,153.81138061893435,153.86053533849895,20600
2006-09-14,153.9916229248047,153.9916229248047,153.9916229248047,153.9916229248047,0
2006-09-15,153.9916229248047,153.9916229248047,153.9916229248047,153.9916229248047,0
2006-09-18,154.2947235107422,154.41761028694006,154.07351481238805,154.07351481238805,23800
2006-09-19,154.5814971923828,154.92560524315877,154.40126738172972,154.92560524315877,8000
2006-09-20,155.03207397460938,155.39255853089148,155.03207397460938,155.19592718168352,8900
2006-09-21,156.27735900878906,156.27735900878906,155.73663224993933,155.79398774005824,26900
2006-09-22,156.0643310546875,156.09709668683098,156.0643310546875,156.09709668683098,200
2006-09-25,156.1052703857422,156.1052703857422,156.0315383444114,156.0315383444114,600
2006-09-26,155.7693634033203,155.86767278393242,155.60549776737636,155.86767278393242,700
