entry_time,side,entry,stop0,target,exit,outcome,bars_held,be_armed,ambiguous,stop_frac,cost_R,gross_R,unit_net_R,net_R,instrument
2021-09-07 12:00:00-04:00,-1.0,1795.728,1800.1092616756432,1782.5842149730706,1800.1092616756432,stop,2,False,False,0.00243982478172816,0.1061858538145676,-1.0,-1.1061858538145677,-1.1061858538145677,XAU/USD
2021-09-07 12:00:00-04:00,1.0,110.215,110.13650172732429,110.45049481802715,110.13650172732429,stop,8,False,False,0.0007122285775594647,0.13649282879425972,-1.0,-1.1364928287942597,-1.1364928287942597,USD/JPY
2021-09-08 04:00:00-04:00,-1.0,1798.638,1802.0354019945394,1788.4457940163816,1802.0354019945394,stop,1,False,True,0.001888874801121432,0.13278762959968263,-1.0,-1.1327876295996826,-1.1327876295996826,XAU/USD
2021-09-08 04:00:00-04:00,-1.0,1.18214,1.18306,1.1793799999999999,1.18306,stop,6,False,False,0.0007782496151048369,0.12255606146200394,-1.0,-1.122556061462004,-1.122556061462004,EUR/USD
2021-09-08 08:00:00-04:00,-1.0,1796.568,1802.074,1780.0499999999997,1802.074,stop,10,False,False,0.003064732311830159,0.08287169136570946,-1.0,-1.0828716913657095,-1.0828716913657095,XAU/USD
2021-09-13 04:00:00-04:00,-1.0,1.17756,1.17924,1.1725199999999996,1.17924,stop,1,False,False,0.0014266788953430194,0.0669040396175174,-1.0,-1.0669040396175173,-1.0669040396175173,EUR/USD
2021-09-13 08:00:00-04:00,-1.0,1.18088,1.1819375373749283,1.1777073878752147,1.1819375373749283,stop,4,False,False,0.0008955502463657772,0.10653695233392657,-1.0,-1.1065369523339266,-1.1065369523339266,EUR/USD
2021-09-13 12:00:00-04:00,-1.0,15386.249,15449.297,15197.104999999998,15449.297,stop,1,False,False,0.004097684887330284,0.03985793156784637,-1.0,-1.0398579315678464,-1.0398579315678464,NAS100
2021-09-14 12:00:00-04:00,1.0,1805.638,1800.604482798698,1820.7385516039058,1800.604482798698,stop,3,False,False,0.002787666853102309,0.08233714410781744,-1.0,-1.0823371441078173,-1.0823371441078173,XAU/USD
2021-09-15 08:00:00-04:00,-1.0,109.305,109.41269931914746,108.98190204255764,109.41269931914746,stop,1,False,False,0.000985310087804374,0.09889589620342575,-1.0,-1.0988958962034256,-1.0988958962034256,USD/JPY
2021-09-15 12:00:00-04:00,1.0,109.414,109.30274955085979,109.74775134742065,109.30274955085979,stop,2,False,False,0.0010167844072990191,0.09581596930689742,-1.0,-1.0958159693068974,-1.0958159693068974,USD/JPY
2021-09-16 08:00:00-04:00,-1.0,1762.587,1773.147,1730.9070000000002,1773.147,stop,19,False,False,0.005991193626186932,0.04090702839928774,-1.0,-1.0409070283992878,-1.0409070283992878,XAU/USD
2021-09-16 08:00:00-04:00,-1.0,1.17549,1.17696,1.1710799999999997,1.17696,stop,1,False,False,0.0012505423270296493,0.07637641487811234,-1.0,-1.0763764148781123,-1.0763764148781123,EUR/USD
2021-09-16 12:00:00-04:00,1.0,1.17689,1.17532,1.1816000000000002,1.17532,stop,5,False,False,0.0013340244202942257,0.0715983900927257,-1.0,-1.0715983900927257,-1.0715983900927257,EUR/USD
2021-09-17 12:00:00-04:00,-1.0,1.17254,1.173699657863777,1.1690610264086685,1.173699657863777,stop,9,False,False,0.0009890134782413748,0.09663318615410324,-1.0,-1.0966331861541032,-1.0966331861541032,EUR/USD
2021-09-20 08:00:00-04:00,-1.0,15080.859,15124.847851685416,14948.892444943755,14948.892444943755,target,1,False,False,0.0029168664520645197,0.058573756224819806,3.0,2.9414262437751804,2.9414262437751804,NAS100
2021-09-20 12:00:00-04:00,-1.0,14927.579,14985.499361385546,14753.817915843361,14985.499361385546,stop,1,False,False,0.0038800907625775173,0.04292206147302478,-1.0,-1.0429220614730248,-1.0429220614730248,NAS100
